"TL","pop","maturity"
340.118118118118,"original",0
680.454454454454,"original",1
726.056056056056,"original",1
603.055055055055,"original",1
171.387387387387,"original",0
591.471471471471,"original",1
622.444444444444,"original",1
285.415415415415,"original",0
352.582582582583,"original",0
238.664664664665,"original",0
348.05005005005,"original",0
209.57957957958,"original",0
807.203203203203,"original",1
593.191191191191,"original",1
308.738738738739,"original",0
289.034034034034,"original",0
129.810810810811,"original",0
694.422422422422,"original",1
415.471471471471,"original",0
462.496496496496,"original",1
359.351351351351,"original",0
368.432432432432,"original",0
371.845845845846,"original",0
570.684684684685,"original",1
276.792792792793,"original",0
669.665665665666,"original",1
351.405405405405,"original",0
303.162162162162,"original",1
129.225225225225,"original",0
209.57957957958,"original",0
250.352352352352,"original",0
487.991991991992,"original",1
519.337337337337,"original",1
267.422422422422,"original",0
636.198198198198,"original",1
515.753753753754,"original",1
468.162162162162,"original",0
274.284284284284,"original",0
357.211211211211,"original",0
266.151151151151,"original",0
270.600600600601,"original",0
453.997997997998,"original",0
717.345345345345,"original",1
629.907907907908,"original",1
370.012012012012,"original",0
679.293293293293,"original",1
361.054054054054,"original",0
238.818818818819,"original",0
458.786786786787,"original",0
400.216216216216,"original",0
482.486486486487,"original",1
474.960960960961,"original",1
290.424424424424,"original",0
492.642642642643,"original",1
514.16016016016,"original",1
354.810810810811,"original",0
267.605605605606,"original",0
593.135135135135,"original",1
121.612612612613,"original",0
417.810810810811,"original",0
570.936936936937,"original",1
608.32032032032,"original",1
325.265265265265,"original",0
316.026026026026,"original",0
765.483483483483,"original",1
261.701701701702,"original",0
724.680680680681,"original",1
379.211211211211,"original",0
703.783783783784,"original",1
446.756756756757,"original",0
297.297297297297,"original",0
497.987987987988,"original",0
383.756756756757,"original",0
449.5995995996,"original",1
461.105105105105,"original",1
351.961961961962,"original",0
314.622622622623,"original",0
393.219219219219,"original",0
503.333333333333,"original",1
450.598598598599,"original",0
770.068068068068,"original",1
483.555555555556,"original",1
430.202202202202,"original",1
557.343343343343,"original",1
617.797797797798,"original",1
349.702702702703,"original",0
485.693693693694,"original",1
480.882882882883,"original",1
488.366366366366,"original",1
212.757757757758,"original",0
396.208208208208,"original",0
